Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
Virya Resources Ltd.,Between 1986 and 1990,,,VIRYA,,01-12-1987,,21-12-2004,25-04-2010,,1124700,,1124700,,100,,74.98,,74.98,,0,,31-03-2020,30-09-2022,0.82,0.2,0.02,0.12,31-03-2021,31-12-2022,,0.35,-0.01,0.02,31-03-2023,31-03-2022,1.89,,-0.19,0.86,30-06-2023,31-03-2023,0.95,,0.37,-0.01,,0.35,,,,,,,,0.31,,0.02,4.23,,,1.5,,2.68,,,,,,0.05,4.23,,,,,,,3.39,,,0.84,,,,0.03,,,,,0.01,,0.01,,,,,,0.01,742.85,111.43,,,,10,-1.07,,,,,,-1.07,,,,,,,111.42,,,1,1856.96,,,
Visa Steel Ltd.,After 1991,17-03-2006,VISASTEEL,VISASTEEL,,17-03-2006,,,,,50167167,44387167,50167167,,100,38.33,43.33,88.48,43.33,88.48,0,,31-03-2020,30-09-2022,347.88,169.41,-84.85,-14.68,31-03-2021,31-12-2022,152.57,611.12,-417.16,-290.25,31-03-2023,31-03-2022,792,107.28,-20.33,-52.57,30-06-2023,31-03-2023,572.48,234.96,-463.71,-14,1111.33,788.88,0.29,0.31,0.31,0.29,,,1200.46,842.17,-87.22,-52.57,1656.57,1935.84,115.79,115.79,-2548.95,-424.69,183.43,214.9,45.41,12,4185.57,1750.57,1656.57,1935.84,1625.37,988.5,4.19,4.29,1.5,1.5,0.01,,458.21,100.7,,,12.16,30.56,0.02,0.02,13.6,12.59,19.81,14.21,-8.68,-3.12,-8.65,-8.7,10.56,10.53,13.04,150.47,11-09-2023,1.42,12.95,10,-5.86,115789500,0.02,10,-6.58,-5.86,-1.77,-6.58,-1.11,-1.77,,,-1.11,1533.86,,,0.1,86.81,1532.82,0.1,86.75
Visagar Financial Services Ltd.,After 1991,,,VISAGAR,,25-08-1995,,,,,31768800,,31768800,,100,,5.44,,5.44,,0,,31-03-2020,30-09-2022,1.51,21.02,-0.28,-3.01,31-03-2021,31-12-2022,8.23,66.58,0.37,-0.35,31-03-2023,31-03-2022,16.82,16.62,4.55,0.24,30-06-2023,31-03-2023,48.14,59.17,1.28,0.44,,,0.52,,,0.16,,,,0.28,,0.24,13.59,,,9.75,,2.19,,,,,,1.65,13.59,,,0,,4.55,,6.4,,,2.64,,,,2.24,,,,,0.08,,0.55,,0.18,-0.67,,,0.09,0.78,45.55,,0.7,,1,0.03,,1.16,,,,0.03,,,,25.59,0.73,,47.09,,,0.97,151.89,,,
Visagar Polytex Ltd.,Between 1972 and 1985,21-05-2013,VIVIDHA,VIVIDHA,,27-03-1984,,12-11-2001,11-12-2007,,16488533,13800000,16488533,,100,4.71,5.63,83.69,5.63,83.69,0,,31-03-2020,30-09-2022,10.17,0.4,-14.35,-0.22,31-03-2021,31-12-2022,0.26,4.81,0.21,0.04,31-03-2023,31-03-2022,3.56,,-1.03,-0.57,30-06-2023,31-03-2023,0.79,,-1.4,-0.6,,3.56,0.01,,,0.01,,,,5.04,,-0.57,28.95,,,30.49,,-10.76,,8.09,8.09,,,1.13,28.95,,,4.28,,,,0.63,,,23.91,,,,11.05,,0.07,,,,,0.85,,-0.04,-0.85,,,0.07,1.05,30.73,15-09-2023,1.85,1.05,1,-0.06,292700534,0.41,1,,-0.06,-0.03,,,-0.03,,1.86,,38.75,,1.86,0.79,46.14,38.75,0.79,46.14
Visaka Industries Ltd.,Between 1972 and 1985,03-09-1996,VISAKAIND,VISAKAIND,,07-11-1985,,,,,41836245,6635000,41836245,,100,7.68,48.42,15.86,48.42,15.86,0,,31-03-2020,30-09-2022,1050.38,362.5,49.3,7.44,31-03-2021,31-12-2022,354.77,1146.21,3.72,110.64,31-03-2023,31-03-2022,1415.78,450.1,5,118.53,30-06-2023,31-03-2023,1646.58,446.84,54.79,12.26,1653.42,1646.58,8.72,8.42,5.8,6.1,,,1641.96,1634.26,53.59,54.79,1379.8,1378.87,17.32,17.32,754.17,755.58,178.67,179.53,146.48,145.61,428.71,427.37,1379.8,1378.87,620.54,614.89,,11.74,74.83,73.43,0.67,0.61,641,643.65,,,380.57,381.48,3.85,3.85,28.1,27.54,29.27,30.1,-212.95,-214.11,187.73,187.77,28.33,27.77,89.41,772.72,15-09-2023,1.49,89.45,2,3.45,86404760,-0.31,2,3.29,3.45,9.5,3.29,9.34,9.5,25.9,1.01,9.34,1111.48,25.91,1.01,0.7,7.49,1111.83,0.7,7.49
Visco Trade Associates Ltd.,Between 1972 and 1985,,,VISCO,,27-09-2016,,,,,3121594,,3121594,,100,,65,,65,,0,,31-03-2020,30-09-2022,24.92,17.99,-2.25,2.32,31-03-2021,31-12-2022,20.62,1.96,-0.35,0.46,31-03-2023,31-03-2022,13.21,28.18,-8.82,0.1,30-06-2023,31-03-2023,76.82,40.6,-9.55,7.89,,,1.63,2.84,,,0.47,0.47,11.4,11.21,-8.51,-9.55,61.04,123.7,5.4,4.8,53.93,-7.83,,,,,0.44,0.15,61.04,123.7,1.46,0.08,,,,,,,,,,,,,0.01,0.12,,,-58.9,-52.46,5.18,-1.21,53.47,53.15,0.31,0.1,113.1,54.32,,0.09,,10,2.27,,2.03,,39.41,,2.31,,39.44,,49.83,11.18,,118.15,,,0.46,121.8,,,
Vishal Bearings Ltd.,After 1991,,,VISHALBL,,15-10-2015,,,,,7638978,,7638978,,100,,70.79,,70.79,,0,,31-03-2020,30-09-2022,51.98,30.01,0.01,1.47,31-03-2021,31-12-2022,35.96,57.72,5.78,0.39,31-03-2023,31-03-2022,108.18,25.49,1.64,6.76,30-06-2023,31-03-2023,115.52,28.21,8.01,1.13,,108.18,0.94,,,0.09,,,,101.34,,6.76,93.18,,,10.79,,14.69,,24.28,23.69,,,43.42,93.18,,,21.46,,3.82,,0.53,,,67.37,,,,38.12,,0.08,,,0.28,,-7.8,,-5.78,12.03,,,0.36,204.7,220.89,,0.51,,10,9.33,,1.42,,,,13.63,,,,21.94,6.38,,260.75,,,0.85,16.18,,,
Vishal Exports Overseas Ltd.,After 1991,28-05-2004,VISHALEXPO,VISHALEXPO,16-11-2009,15-03-2005,23-03-2017,13-01-2011,,,48974548,42000000,48974548,,100,11.67,13.6,85.76,13.6,85.76,,,30-09-2007,31-03-2009,1431.81,0.62,-188.51,-2.01,30-09-2008,30-06-2009,1.67,34.69,-0.75,-16.07,30-09-2009,30-09-2009,4.91,2.03,-0.05,-3.11,31-12-2009,30-09-2010,,0.48,-43.64,-1.18,3936.53,,,0.44,,,,0.04,3917.32,0.01,34.41,-0.01,81.96,1131.12,36.82,36,166.12,-675.26,,653.65,378.96,,641.7,67.57,81.96,1131.12,125.94,,,0.14,,,,,81.82,,,,,,,0.07,,2.29,220.55,0,-70.64,,,-11.1,202.28,2.29,0.45,25.2,13-11-2009,1.29,0.95,1,-0.07,360000000,-0.92,1,,-0.1,-0.07,,,-0.04,,,,430.21,,,0.04,0,512.11,0.07,742.19
Vishal Fabrics Ltd.,Between 1972 and 1985,21-08-2019,VISHAL,VISHAL,,20-08-2014,,,,,136347977,13464444,128961800,7386177,100,6.81,69,9.88,65.26,5.58,3.74,84.81,31-03-2020,30-09-2022,1296.84,343.45,30.1,11.16,31-03-2021,31-12-2022,385.47,967.54,12.03,18.1,31-03-2023,31-03-2022,1546.76,376.83,10.67,69.04,30-06-2023,31-03-2023,1547.86,328.2,52.82,2.32,,1546.76,1.89,,,0.97,,,,1501.85,,69.04,877.71,,,98.81,,235.81,,176.34,163.07,,,366.75,877.71,,,269.74,,24.09,,4.03,,0.11,576.24,,,26,96.52,,0.14,,,21.67,,92.27,,-50.56,-40.87,,,21.81,19.08,377.24,15-09-2023,0.77,19.1,5,1.81,197610003,-0.72,5,,1.81,3.49,,,3.49,10.56,0.97,,732.91,10.57,0.97,0.51,4.47,733.31,0.51,4.47
Vishnu Chemicals Ltd.,After 1991,05-03-2015,VISHNU,VISHNU,,05-09-1994,,26-12-2001,01-07-2007,,44797530,1720000,44797530,,100,2.62,68.36,3.84,68.36,3.84,,,31-03-2020,30-09-2022,571.14,321.52,13.22,32.56,31-03-2021,31-12-2022,297.43,573.1,31.75,22.75,31-03-2023,31-03-2022,906.69,299,35.72,65.24,30-06-2023,31-03-2023,1221.86,249.94,129.34,25.49,1391,1221.86,10.67,11.07,1.31,1.96,,,1292.72,1126.89,136.56,129.34,829.25,1052.14,88.59,88.59,402.42,334.14,193.32,107.8,64.63,131.63,367.81,298.72,829.25,1052.14,464.65,377.3,0.24,2.33,19.84,43.93,,,400.97,469.11,1.44,,181.96,208.31,0.05,0.08,20.91,13.22,134.25,97.07,-118.35,-17.5,-79.6,-15.58,0.66,0.08,345,2260.2,15-09-2023,1.33,344.85,2,18.53,65527195,0.64,2,19.51,18.53,21.69,19.51,23.63,21.69,18.61,3.97,23.63,2521.32,18.61,3.97,0.9,11.25,2520.34,0.9,11.24
Vishnu Prakash R Punglia Ltd.,After 1991,05-09-2023,VPRPL,VPRPL,,05-09-2023,,,,,84519000,,84519000,,100,,67.81,,67.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.77,854.68,1.37,1.45,1.45,1.37,,,308.23,876.84,9.67,45.93,431.24,176.1,28.15,28.15,31.82,137.46,41.74,78.53,62.09,26.83,74.39,187.1,431.24,176.1,43.2,82.27,1.47,0.54,18.41,39.11,0.06,,309.32,112.96,,2.95,168.46,27.91,0.07,0.3,24.35,29.79,,2.87,,-30.92,24.61,,,29.86,174.67,2176.72,15-09-2023,,174.6,10,3.69,124644000,,10,,3.69,4.01,,,4.01,47.38,4.04,,2317.79,47.36,4.04,0.94,26.45,2316.91,0.94,26.44
Vishvjyoti Trading Ltd.,Between 1972 and 1985,,,VISJYTR,,05-04-2013,,07-01-2015,,,1599300,,1599300,,100,,1.05,,1.05,,0,,31-03-2013,30-06-2015,0.11,13.39,-0.27,0.17,31-03-2014,30-09-2015,13.78,47.18,0.23,0.06,31-12-2015,31-03-2015,43.55,,0.17,0.65,31-03-2016,31-03-2016,51.02,23.85,0.58,0.13,,,0.11,,,0.11,,,,0.1,,0.01,19.96,,,15.25,,1.35,,0.01,,,,3.35,19.96,,,0,,6.04,,10.08,,,3.84,,,,,,,,,0.02,,-0.02,,0.02,,,,0.02,16.35,249.26,,,,1,-0.23,,,,,,-0.23,,,,,16.06,,249.32,,,1,131.91,,,
Vishvprabha Ventures Ltd.,Between 1972 and 1985,,,VISVEN,,17-04-1985,,,,,1040544,,1040544,,100,,60.67,,60.67,,0,,31-03-2020,30-09-2022,2.1,0.82,0.07,-0.07,31-03-2021,31-12-2022,0.09,0.55,-0.11,0.07,31-03-2023,31-03-2022,2.4,0.21,-0.03,-0.42,30-06-2023,31-03-2023,1.84,0.84,-0.01,0.07,2.4,2.4,,,,,,,4.26,4.21,-0.44,-0.42,9.48,9.87,1.74,1.72,2.47,2.5,3.79,3.65,3.65,3.79,1.87,1.61,9.48,9.87,2.2,0.66,,0.08,0.88,0.05,0.17,,8.69,2.74,,,1.11,1.18,0.02,0.02,,,-1.74,-1.22,-2.04,-2.52,3.74,3.78,0.02,0.02,94.1,16.14,,0.26,,10,-0.76,,1.37,,-1.11,,0.23,,-0.12,,,3.78,,19.77,,,0.82,0,,,
Vishwaraj Sugar Inds. Ltd.,After 1991,15-10-2019,VISHWARAJ,VISHWARAJ,,15-10-2019,,,,,63272310,,63272310,,100,,33.69,,33.69,,0,,31-03-2020,30-09-2022,370.34,99.15,-7.88,-7.04,31-03-2021,31-12-2022,101.61,426.46,37.78,8.29,31-03-2023,31-03-2022,468.75,199.07,-46.05,60.16,30-06-2023,31-03-2023,616.49,141.71,-23.45,-9.14,,469.58,0.14,,,,0.14,,,456.55,,60.16,776.79,,,37.56,,245.03,,92.59,89.7,,,401.61,776.79,,,299.61,,1.31,,5.1,,,457.24,,,,366.8,,0.09,,,13.07,,35.2,,-32.94,-37.96,,,13.16,18.98,356.59,15-09-2023,0.4,19,2,-1.59,187780000,0.15,2,,-1.59,-0.73,,,-0.73,,1.46,,714.58,,1.46,0.5,7.36,714.95,0.5,7.36
Vision Cinemas Ltd.,After 1991,,,VISIONCINE,,23-05-1994,,26-11-2018,,,27494846,,27494846,,100,,38.82,,38.82,,0,,31-03-2020,30-09-2022,0.75,,0.01,-0.02,31-03-2021,31-12-2022,,,-0.03,-0.14,31-03-2023,31-03-2022,,0.4,0.29,-0.14,30-06-2023,31-03-2023,0.4,0.32,0.1,0.08,0.4,0.4,,,,,,,0.19,0.22,0.45,0.18,17.48,11.57,7.89,7.89,0.73,7.45,0.66,0.09,,0.66,2.29,2.05,17.48,11.57,1.27,0.69,,0.05,0.08,6.79,0.03,0.03,9.92,9.92,,,,,0.04,0.04,,,0.01,0.06,0.01,-0.04,,,0.05,0.04,1,7.08,,0.15,,1,0.05,,0.21,,0.06,,0.06,,0.09,,20.24,0.48,,7.04,,,1.01,39.12,,,
Vision Corporation Ltd.,After 1991,,,VISIONCO,,09-05-1996,,15-09-2015,27-07-2016,,5067593,,5067593,,100,,25.38,,25.38,,0,,31-03-2020,30-09-2022,6.17,0.43,0.03,-0.02,31-03-2021,31-12-2022,0.61,6.16,0,0.03,31-03-2023,31-03-2022,7.9,7.29,0.02,0.01,30-06-2023,31-03-2023,1.9,6.39,0.04,-0.93,,1.92,,,,,,,,2.45,,0.04,30.79,,,19.97,,3.01,,,,,,7.81,30.79,,,1.88,,,,6.3,,12.66,9.95,,,,7.02,,0.05,,,0.01,,5.16,,-5.83,0.3,,,0.05,3.02,6.03,,0.53,,10,-0.45,,0.58,,,,-0.33,,,,,0.28,,6.33,,,0.95,24.35,,,
Vista Pharmaceuticals Ltd.,After 1991,,,VISTAPH,,16-12-1994,,25-06-2015,25-05-2016,,13040187,,13040187,,100,,30.49,,30.49,,,,31-03-2020,30-09-2022,22.76,,-3.68,-0.24,31-03-2021,31-12-2022,,1.27,-0.96,-1.89,31-03-2023,31-03-2022,0.39,1,-3.71,-0.83,30-06-2023,31-03-2023,1,1.98,-5.66,-0.95,,0.39,0.17,,,0.17,,,,1.39,,-0.83,55.57,,,7.36,,28.09,,9.43,9.36,,,10.69,55.57,,,19.33,,0.03,,,,8.32,15.33,,,,9.32,,0.01,,,0.06,,-0.99,,-0.01,0.93,,,0.07,17.87,81.95,,0.89,,2,-1.54,,-0.3,,,,-1.4,,,,,2.16,,94.48,,,0.87,0,,,
Vistar Amar Ltd.,Between 1972 and 1985,,,VISTARAMAR,,04-12-2015,,,,,2100000,,2100000,,100,,65.63,,65.63,,0,,31-03-2020,30-09-2022,21.24,7.02,1.09,0.16,31-03-2021,31-12-2022,20.93,35.58,1.32,2.22,31-03-2023,31-03-2022,55.95,17.75,0.4,3.33,30-06-2023,31-03-2023,64.17,20.81,3.17,1.29,,64.17,0.01,,,0.01,,,,64.08,,3.17,17.52,,,3.2,,9.86,,0.02,,,,4.44,17.52,,,2.5,,,,0.05,,0.05,14.9,,,,4.97,,0.01,,,0.77,,-0.28,,-0.04,0.3,,,0.62,279.2,89.34,,0.84,,10,9.94,,1.6,,,,11.22,,,,28.1,6.23,,88.85,,,1.01,18.95,,,
Vital Chemtech Ltd.,After 1991,28-11-2022,VITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-03-2022,57.61,,,7.9,,31-03-2023,116.74,,8.05,,,57.52,0.18,,,0.05,,,,49.63,,7.9,81.26,,,6.72,,7.9,,22.24,22.24,,,44.4,81.26,,,17.38,,2.95,,0.18,,5.91,54.84,,,,9.05,,0.39,,,0.01,,-13.22,,-4.81,18.19,,,0.39,,243.23,15-09-2023,,101.55,,,23951500,,10,,3.36,,,,4.33,,,,,30.21,2.95,,,273.31,0.89,23.2
Vitan Agro Inds. Ltd.,Between 1986 and 1990,,,VITANAGRO,,17-07-2014,,11-12-2018,,,,,,,100,,,,,,,,31-03-2015,31-03-2018,5.16,,0.33,-0.16,31-03-2016,30-06-2018,,8.99,0.03,0.08,30-09-2018,31-03-2017,1.19,,0.02,0.12,31-12-2018,31-03-2018,,,-0.05,0.05,13.83,,0.25,0.56,0.56,0.25,,,14.3,0.21,0.26,0.04,9.76,19.32,8.35,8.35,-0.17,0.03,3.2,,,3.2,7.94,1.38,9.76,19.32,2.74,0.01,2.08,7,0.71,,0.38,,2.75,12.85,,,,0.07,,0.03,1.09,0.07,,,,,,,,,4.66,38.93,,-0.17,,1,-0.01,,1.68,,,,-0.01,,,,,4.84,,38.78,,,1,92.33,,,
Vitesse Agro Ltd.,Between 1972 and 1985,,,VITESSE,,20-03-2020,,,,,2886642,,2886642,,100,,63.89,,63.89,,0,,31-03-2020,30-06-2022,7.07,4.8,0.43,0,31-03-2021,30-09-2022,4,20,0.01,1.5,31-12-2022,31-03-2022,18.82,4.47,0.01,0.51,31-03-2023,31-03-2023,17.61,4.34,0.01,-0.02,,18.82,,,,,,,,18.35,,0.51,25.21,,,4.78,,3.24,,7.63,7.3,,,9.56,25.21,,,7.05,,1.09,,3.52,,0.24,13.31,,,,0.21,,2.21,,,,,0.92,,-1.29,0.2,,,2.21,16.15,7.3,,0,,10,0.02,,0.73,,,,0.42,,,,729.73,0.94,,12.65,,,0.58,10.63,,,
Vivanta Industries Ltd.,After 1991,,,VIVANTA,,20-08-2018,,,,,42903512,,42903512,,100,,42.9,,42.9,,0,,31-03-2020,30-09-2022,,0.7,-0.4,0.64,31-03-2021,31-12-2022,6.23,0.36,1.03,0.02,31-03-2023,31-03-2022,1.25,17.69,-0.25,0.4,30-06-2023,31-03-2023,24.74,14.08,1.46,0.35,1.3,1.26,,,,,,,1.73,1.46,0.15,0.4,23.55,25.26,10,10,4.58,4.29,5.7,5.58,5.58,4.59,4.98,3.68,23.55,25.26,13.38,10.19,,1.7,9.78,9.78,,,1.86,2.08,,,,,0.01,0.01,0.01,,0.22,0.7,-0.36,-0.71,,0.13,0.02,0.01,5.17,64.63,,0.57,,1,0.14,,0.64,,0.13,,0.14,,0.14,,36.51,4.11,,70.19,,,0.92,152.6,,,
Vivanza Biosciences Ltd.,Between 1972 and 1985,,,VIVANZA,,10-05-1995,,27-05-2015,19-08-2015,,19120000,,19120000,,100,,47.8,,47.8,,0,,31-03-2020,30-09-2022,9.43,1.04,-0.2,0.15,31-03-2021,31-12-2022,4.8,9.22,0.42,0.1,31-03-2023,31-03-2022,9.15,6.02,-0.05,0.46,30-06-2023,31-03-2023,14.21,4.88,0.57,0.33,17.81,14.35,,,,,,,17.73,13.41,0.6,0.57,20.45,22.48,4,4,0.09,0.4,1.43,,,1.43,16.96,16.05,20.45,22.48,2.32,0,,1.91,0.6,0.59,,,17.95,19.56,,,1.61,2.47,0.08,0.11,0.03,0.03,0.21,0.16,,,-0.08,-0.13,0.14,0.1,12.09,48.36,,0.33,,1,0.21,,1.14,,0.26,,0.21,,0.26,,58.27,10.22,,54.82,,,0.88,43.17,,,
Viviana Power Tech Ltd.,After 1991,30-09-2022,VIVIANA,,,,,,,,,,,,,,,,,,,,,,,,,,31-03-2021,,,22.52,,1.16,,31-03-2022,32.61,,,2.8,,31-03-2023,36.15,,3.01,,,32.61,0.44,,,0.04,,,,29.74,,2.8,21.48,,,0.23,,6.56,,0.83,0.83,,,13.86,21.48,,,0.78,,,,6.89,,0.75,13.05,,,,1.57,,0.05,,,0.73,,4.46,,-3.69,-1.67,,,0.89,,91.64,15-09-2023,,153.5,,,5970000,,10,,5.04,,5.21,,5.39,,,5.56,,30.45,4.93,,,97.93,0.94,19.28
Vivid Global Inds. Ltd.,Between 1986 and 1990,,,VIVIDIND,,21-07-1994,,21-12-2004,28-07-2008,,4473248,,4473248,,100,,49,,49,,0,,31-03-2020,30-09-2022,58.27,8,0.87,-0.06,31-03-2021,31-12-2022,8.28,48.27,0.05,1.48,31-03-2023,31-03-2022,46.28,9.17,0.04,1.42,30-06-2023,31-03-2023,36.2,9,-0.19,-0.34,,46.43,0.24,,,0.16,,,,49.07,,1.42,35.23,,,4.56,,10.34,,0.74,0.06,,,19.59,35.23,,,5.97,,0.04,,0.87,,,28.35,,,,10.73,,0.05,,,3.43,,-3.36,,-0.5,1.49,,,3.48,21,19.17,,1.11,,5,-0.34,,-0.13,,,,0.53,,,,,1.43,,22.17,,,0.86,7.04,,,
Vivid Mercantile Ltd.,After 1991,,,VIVIDM,,23-10-2018,,,,,4535467,,4535467,,100,,45.24,,45.24,,0,,31-03-2020,30-09-2022,30.01,0.11,-0.04,0.23,31-03-2021,31-12-2022,3.22,16.97,1.07,3.58,31-03-2023,31-03-2022,17.87,1.2,3.27,4.69,30-06-2023,31-03-2023,4.42,5.11,4.34,0.41,,17.87,5.17,,,,,,,24.28,,4.73,26.43,,,10.03,,15.18,,,,,,1.22,26.43,,,0.31,,,,,,,26.12,,,9.45,14.73,,0.01,,,0.02,,-6.89,,6.14,0.63,,,0.03,52.5,52.63,,-0.23,,10,4.3,,0.6,,,,4.37,,,,12.21,1.76,,53.23,,,0.99,9.91,,,
Vivimed Labs Ltd.,Between 1986 and 1990,17-08-2005,VIVIMEDLAB,VIVIMEDLAB,,17-08-2005,,01-08-2023,,,17364635,6435933,17364635,,100,7.76,20.94,37.06,20.94,37.06,,,31-03-2020,30-09-2022,276.61,39.18,-19.17,-22.15,31-03-2021,31-12-2022,50.56,210.05,-19.12,-29.19,31-03-2023,31-03-2022,218.37,39.72,-264.85,-67.75,30-06-2023,31-03-2023,176.83,33,-328.01,-15.38,237.29,218.37,,,,,,,305.72,286.89,-67.65,-67.75,1074.71,1268.76,16.58,16.58,347.71,440.7,528.34,248.7,60.62,60.99,376.13,368.73,1074.71,1268.76,519.9,428.8,198.82,161.15,,,,,444.73,510.01,,,239.07,240.77,,0.01,7.17,6.78,27.53,25.31,-16.41,-11.34,-13.21,-10.37,7.18,6.78,4.9,40.84,31-07-2023,1.45,4.95,2,-38.78,82913915,-0.8,2,-38.82,-38.78,-25.85,-38.82,-25.72,-25.85,,0.54,-25.72,390.8,,0.54,0.1,0,391.21,0.1,0
Vivo Bio Tech Ltd.,Between 1986 and 1990,,,VIVOBIOT,,09-08-1994,,04-10-2005,29-06-2011,,6271500,,6271500,,100,,42.08,,42.08,,0,,31-03-2020,30-09-2022,55.35,12.54,4.44,0.12,31-03-2021,31-12-2022,13.42,51.78,0.15,5.68,31-03-2023,31-03-2022,51.39,14.4,2.04,2.2,30-06-2023,31-03-2023,51.62,11.58,2.63,0.26,51.39,51.39,0.09,0.1,0.1,0.09,,,49.29,49.28,2.2,2.2,120.28,122.48,14.95,14.95,32.17,32.19,52.17,49.97,47.88,50.08,23.19,23.17,120.28,122.48,95.17,91.81,,0.04,,,0.42,0.4,27.16,26.02,,,9.81,9.81,0.04,0.22,1.49,1.42,17.82,17.61,-51.11,-51.11,33.87,33.83,1.71,1.47,33.22,49.51,,1.12,,10,1.72,,-0.35,,1.66,,7.92,,7.85,,19.26,0.95,,113.29,,,0.44,6.96,,,
Vivo Collaboration Solutions Ltd.,After 1991,14-01-2022,VIVO,,,,,,,,1479000,,1479000,0,100,,73.4,,73.4,,0,,,,,,,,31-03-2021,,,14.87,,3.19,,31-03-2022,12.83,,,4.68,,31-03-2023,7.73,,0.35,,,12.83,0.38,,,0.23,,,,8.54,,4.67,14.61,,,2.02,,11.9,,,,,,0.69,14.61,,,0.03,,,,0.07,,0.06,14.44,,,4.5,0.05,,0.07,,,6.27,,3.37,,-4.28,7.05,,,6.32,,22.77,13-09-2023,,113,,,2015000,,10,,1.74,,,,2.23,,,,,65.06,1.6,,,16.43,1.39,2.6
